亞的斯亞貝巴	ya|di|si|ya|bei|ba
大伯子	da|bai|zi
大不了	da|bu|liao
大不了的	da|bu|liao|de
大部地	da|bu|de
大部地区	da|bu|di|qu
大部分地	da|bu|fen|de
大部分地区	da|bu|fen|di|qu
大藏	da|zang
大藏大臣	da|zang|da|chen
大藏经	da|zang|jing
大长见识	da|zhang|jian|shi
大长志气	da|zhang|zhi|qi
大城	da|cheng
大城市	da|cheng|shi
大城市的	da|cheng|shi|de
大城市人	da|cheng|shi|ren
大城市站	da|cheng|shi|zhan
大城县	dai|cheng|xian
大城小事	da|cheng|xiao|shi
大处着墨	da|chu|zhuo|mo
大处着手	da|chu|zhuo|shou
大处着眼	da|chu|zhuo|yan
大大地	da|da|de
大胆地	da|dan|de
大胆地说	da|dan|de|shuo
大帝传	da|di|zhuan
大调整	da|tiao|zheng
大都	da|du
大都不是	da|dou|bu|shi
大都会	da|du|hui
大都接受	da|dou|jie|shou
大都如此	da|du|ru|ci
大都是	da|dou|shi
大都市的	da|dou|shi|de
大都喜欢	da|dou|xi|huan
大都以	da|dou|yi
大都在	da|dou|zai
大队长	da|dui|zhang
大囤满小囤流	da|dun|man|xiao|dun|liu
大方地	da|fang|de
大夫	dai|fu
大幅度地	da|fu|du|de
大幅下调	da|fu|xia|tiao
大幅增长	da|fu|zeng|zhang
大腹便便	da|fu|pian|pian
大概地	da|gai|de
大规模地	da|gui|mo|de
大和银行	da|he|yin|hang
大黄	dai|huang
大黄错虫丸	dai|huang|cuo|chong|wan
大黄蜂	da|huang|feng
大黄蜂类	dai|huang|feng|lei
大黄附子汤	dai|huang|fu|zi|tang
大黄牡丹汤	dai|huang|mu|dan|tang
大黄散	dai|huang|san
大黄酸	dai|huang|suan
大黄页	da|huang|ye
大黄鱼	da|huang|yu
大会计	da|kuai|ji
大贾	da|gu
大驾北还录	da|jia|bei|huan|lu
大嚼地	da|jiao|de
大觉	da|jiao
大口吐血	da|kou|tu|xie
大力调整	da|li|tiao|zheng
大连长	da|lian|chang
大量地	da|liang|de
大率	da|shuai
大略地	da|lue|de
大麦町	da|mai|tian
大模大样	da|mu|da|yang
大脑两半球功能不对称性	da|nao|liang|ban|qiu|gong|neng|bu|dui|chen|xing
大排长龙	da|pai|chang|long
大排行	da|pai|hang
大盘调整	da|pan|tiao|zheng
大盘反弹	da|pan|fan|tan
大批出没	da|pi|chu|mo
大批地	da|pi|de
大片落下	da|pian|la|xia
大埔	da|bu
大埔县	da|bu|xian
大曝光	da|bao|guang
大气磅礴	da|qi|pang|bo
大气中的	da|qi|zhong|di
大融爐	rong|lu|da
大融炉	rong|lu|da
大僧院长	da|seng|yuan|zhang
大商行	da|shang|hang
大声地	da|sheng|de
大声地嚼	da|sheng|de|jiao
大声地叫	da|sheng|de|jiao
大声地说	da|sheng|de|shuo
大声呼吁	da|sheng|hu|yu
大声咀嚼	da|sheng|ju|jue
大蒜似的	da|suan|shi|de
大唐双龙传	da|tang|shuang|long|zhuan
大通银行	da|tong|yin|hang
大为地	da|wei|de
大小可调	da|xiao|ke|tiao
大校长	da|xiao|zhang
大型乐队	da|xing|yue|dui
大行	da|hang
大行大市	da|hang|da|shi
大行动	da|xing|dong
大行宫	da|xing|gong
大行家	da|hang|jia
大行其道	da|xing|qi|dao
大行星	da|xing|xing
大行业	da|hang|ye
大行政区	da|xing|zheng|qu
大学生长	da|xue|sheng|zhang
大学校长	da|xue|xiao|zhang
大学院长	da|xue|yuan|zhang
大洋型地殻	da|yang|xing|di|qiao
大衣呢	da|yi|ni
大音乐家	da|yin|yue|jia
大银行	da|yin|hang
大有长进	da|you|zhang|jin
大约地	da|yue|de
大轧厂	da|zha|chang
大重九	da|chong|jiu
大椎	da|chui
大椎穴	da|zhui|xue
大黃	dai|huang
呆板地	dai|ban|de
呆滞地	dai|zhi|de
戴桂冠的	da|zhu|jiao|de
戴着墨镜	dai|zhe|mo|jing
带调节	dai|tiao|jie
带调整	dai|tiao|zheng
带号测度全变差	dai|hao|ce|duo|quan|bian|cha
带灰地	dai|hui|de
带劲	dai|jin
带冷笑地	dai|leng|xiao|de
代表团长	dai|biao|tuan|zhang
代表性地	dai|biao|xing|de
代部长	dai|bu|zhang
代偿失调	dai|chang|shi|tiao
代还	dai|huan
代理地	dai|li|de
代理行	dai|li|hang
代理银行	dai|li|yin|hang
代省长	dai|sheng|zhang
代市长	dai|shi|zhang
代收银行	dai|shou|yin|hang
代县长	dai|xian|zhang
代谢失调	dai|xie|shi|tiao
代曾	dai|ceng
贷款银行	dai|kuan|yin|hang
待发育地	dai|fa|yu|de
待决的当	dai|jue|di|dang
怠惰地	dai|duo|de
怠慢地	dai|man|de
怠慢了	dai|man|liao
担任校长	dan|ren|xiao|zhang
担心地	dan|xin|de
担雪塞井	dan|xue|sai|jing
丹參	dan|shen
丹参	dan|shen
丹参滴丸	dan|shen|di|wan
丹参饮	dan|shen|yin
单边带调制	dan|bian|dai|tiao|zhi
单步调试	dan|bu|tiao|shi
单纯地	dan|chun|de
单丛	dong|cong
单错校正	dan|cuo|jiao|zheng
单点系泊	dan|dian|ji|bo
单调地	dan|diao|de
单独地	dan|du|de
单耳地	dan|er|de
单方面的	dan|fang|mian|de
单红	shan|hong
单晶生长	dan|jing|sheng|zhang
单亲家庭	dan|qin|jia|ting
单人地	dan|ren|de
单色谐调	dan|se|xie|tiao
单手地	dan|shou|de
单数地	dan|shu|de
单卫国	shan|wei|guo
单县	shan|xian
单行	dan|hang
单行本	dan|xing|ben
单行道	dan|xing|dao
单行路	dan|xing|lu
单行条列	dan|xing|tiao|lie
单行线	dan|xing|xian
单一银行	dan|yi|yin|hang
单音节地	dan|yin|jie|de
单于	chan|yu
单于形	chan|yu|xing
掸邦	shan|bang
胆层地	dan|ceng|de
胆颤	dan|zhan
胆颤心寒	dan|zhan|xin|han
胆颤心惊	dan|zhan|xin|jing
胆惊心颤	dan|jing|xin|zhan
胆怯地	dan|qie|de
胆小丑角	dan|xiao|chou|jue
胆小地	dan|xiao|de
旦角	dan|jue
旦角儿	dan|jue|er
旦角演员	dan|jue|yan|yuan
但仍得	dan|reng|dei
但是呜咽	dan|shi|wu|ye
但重码多	dan|chong|ma|duo
淡薄地	dan|bo|de
淡泊地	dan|bo|de
淡淡地	dan|dan|de
淡褐色地	dan|he|se|de
淡红色地	dan|hong|se|de
淡色地	dan|se|de
淡水湖泊	dan|shui|hu|po
淡行	dan|hang
弹拔乐器	tan|ba|yue|qi
弹拨	tan|bo
弹拨乐	tan|bo|yue
弹拨乐器	tan|bo|yue|qi
弹不	tan|bu
弹不出	tan|bu|chu
弹不来	tan|bu|lai
弹唱	tan|chang
弹斥	tan|chi
弹虫	tan|chong
弹出	tan|chu
弹出菜单	tan|chu|cai|dan
弹出程序	tan|chu|cheng|xu
弹出窗口	tan|chu|chuang|kou
弹出来	tan|chu|lai
弹出去	tan|chu|qu
弹出一个	tan|chu|yi|ge
弹床	tan|chuang
弹词	tan|ci
弹弹	tan|dan
弹弹蹦蹦	tan|tan|beng|beng
弹弹堂	dan|dan|tang
弹到	tan|dao
弹得	tan|de
弹掉	tan|diao
弹动	tan|dong
弹钢琴	tan|gang|qin
弹杠	tan|gang
弹冠结绶	tan|guan|jie|shou
弹冠相庆	tan|guan|xiang|qing
弹冠振衣	tan|guan|zhen|yi
弹冠振衿	tan|guan|zhen|jin
弹过	tan|guo
弹过来	tan|guo|lai
弹过去	tan|guo|qu
弹好	tan|hao
弹合	tan|he
弹盒	tan|he
弹花	tan|hua
弹花机	tan|hua|ji
弹簧	tan|huang
弹簧板	tan|huang|ban
弹簧插销	tan|huang|cha|xiao
弹簧秤	tan|huang|cheng
弹簧床	tan|huang|chuang
弹簧床垫	tan|huang|chuang|dian
弹簧床座	tan|huang|chuang|zuo
弹簧刀	tan|huang|dao
弹簧地板	tan|huang|di|ban
弹簧垫	tan|huang|dian
弹簧垫圈	tan|huang|dian|juan
弹簧钢	tan|huang|gang
弹簧钢丝	tan|huang|gang|si
弹簧钩	tan|huang|gou
弹簧固定桥	tan|huang|gu|ding|qiao
弹簧夹	tan|huang|jia
弹簧加压气举阀	tan|huang|jia|ya|qi|ju|fa
弹簧铰链	tan|huang|jiao|lian
弹簧卡环	tan|huang|ka|huan
弹簧门	tan|huang|men
弹簧模型	tan|huang|mo|xing
弹簧锁	tan|huang|suo
弹簧线夹	tan|huang|xian|jia
弹簧压力	tan|huang|ya|li
弹簧椅	tan|huang|yi
弹簧折刀	tan|huang|zhe|dao
弹簧支架	tan|huang|zhi|jia
弹簧组	tan|huang|zu
弹簧作用	tan|huang|zuo|yong
弹簧座	tan|huang|zuo
弹回	tan|hui
弹回的球	tan|hui|de|qiu
弹回来	tan|hui|lai
弹回去	tan|hui|qu
弹回消息	tan|hui|xiao|xi
弹吉他	tan|ji|ta
弹剑作歌	tan|jian|zuo|ge
弹斤估两	tan|jin|gu|liang
弹进	tan|jin
弹纠	tan|jiu
弹开	tan|kai
弹空说嘴	tan|kong|shuo|zui
弹来弹去	tan|lai|tan|qu
弹泪	tan|lei
弹力	tan|li
弹力绷带	tan|li|beng|dai
弹力长袜	tan|li|chang|wa
弹力短袜	tan|li|duan|wa
弹力裤	tan|li|ku
弹力呢	tan|li|ni
弹力丝	tan|li|si
弹力素	tan|li|su
弹力袜	tan|li|wa
弹力纤维	tan|li|xian|wei
弹力织物	tan|li|zhi|wu
弹了	tan|le
弹了弹	tan|le|tan
弹落	tan|luo
弹梦	tan|meng
弹棉花	tan|mian|hua
弹弄	tan|nong
弹琵琶	tan|pi|pa
弹起	tan|qi
弹起来	tan|qi|lai
弹琴	tan|qin
弹球	tan|qiu
弹球病毒	tan|qiu|bing|du
弹去	tan|qu
弹入	tan|ru
弹上	tan|shang
弹上来	tan|shang|lai
弹上去	tan|shang|qu
弹射	tan|she
弹射起飞	tan|she|qi|fei
弹射器	tan|she|qi
弹射装置	tan|she|zhuang|zhi
弹射座椅	tan|she|zuo|yi
弹升	tan|sheng
弹石	tan|shi
弹石基线	tan|shi|ji|xian
弹石游戏	tan|shi|you|xi
弹式热量计	tan|shi|re|liang|ji
弹丝	tan|si
弹丝品竹	tan|si|pin|zhu
弹跳	tan|tiao
弹跳板	tan|tiao|ban
弹跳力	tan|tiao|li
弹跳力强	tan|tiao|li|qiang
弹跳能力	tan|tiao|neng|li
弹涂鱼	tan|tu|yu
弹腿	tan|tui
弹妥	tan|tuo
弹完	tan|wan
弹下	tan|xia
弹下来	tan|xia|lai
弹下去	tan|xia|qu
弹性	tan|xing
弹性变形	tan|xing|bian|xing
弹性波	tan|xing|bo
弹性材料	tan|xing|cai|liao
弹性常数	tan|xing|chang|shu
弹性地板	tan|xing|di|ban
弹性垫圈	tan|xing|dian|juan
弹性定律	tan|xing|ding|lv
弹性动作	tan|xing|dong|zuo
弹性工时	tan|xing|gong|shi
弹性工作时间	tan|xing|gong|zuo|shi|jian
弹性后效	tan|xing|hou|xiao
弹性恢复	tan|xing|hui|fu
弹性回复	tan|xing|hui|fu
弹性回跳	tan|xing|hui|tiao
弹性极限	tan|xing|ji|xian
弹性计	tan|xing|ji
弹性胶	tan|xing|jiao
弹性介质	tan|xing|jie|zhi
弹性就业	tan|xing|jiu|ye
弹性控制	tan|xing|kong|zhi
弹性理论	tan|xing|li|lun
弹性沥青	tan|xing|li|qing
弹性力	tan|xing|li
弹性硫	tan|xing|liu
弹性论	tan|xing|lun
弹性模量	tan|xing|mo|liang
弹性模数	tan|xing|mo|shu
弹性碰撞	tan|xing|peng|zhuang
弹性疲乏	tan|xing|pi|fa
弹性曲线	tan|xing|qu|xian
弹性散射	tan|xing|san|she
弹性塑料	tan|xing|su|liao
弹性体	tan|xing|ti
弹性体的	tan|xing|ti|de
弹性通货	tan|xing|tong|huo
弹性外交	tan|xing|wai|jiao
弹性系数	tan|xing|xi|shu
弹性纤维	tan|xing|xian|wei
弹性橡胶	tan|xing|xiang|jiao
弹性橡皮	tan|xing|xiang|pi
弹性应变	tan|xing|ying|bian
弹性预算	tan|xing|yu|suan
弹性政客	tan|xing|zheng|ke
弹性织物	tan|xing|zhi|wu
弹性值	tan|xing|zhi
弹性最大	tan|xing|zui|da
弹压	tan|ya
弹牙	tan|ya
弹指	tan|zhi
弹指光阴	tan|zhi|guang|yin
弹指间	tan|zhi|jian
弹指如飞	tan|zhi|ru|fei
弹指神功	tan|zhi|shen|gong
弹指一挥	tan|zhi|yi|hui
弹指之间	tan|zhi|zhi|jian
弹着	tan|zhe
弹着点	dan|zhuo|dian
弹着环数	dan|zhuo|huan|shu
弹子枱	dan|zi|tai
弹走	tan|zou
弹奏	tan|zou
弹奏法	tan|zou|fa
弹奏乐器	tan|zou|yue|qi
弹奏竖琴	tan|zou|shu|qin
弹劾	tan|he
弹劾除名	tan|he|chu|ming
弹劾法	tan|he|fa
弹劾领导	tan|he|ling|dao
弹劾权	tan|he|quan
弹劾总统	tan|he|zong|tong
弹铗无鱼	tan|jia|wu|yu
弹筝	tan|zheng
蛋白似的	dan|bai|shi|de
当不了	dang|bu|liao
当差	dang|chai
当的船长	dang|de|chuan|zhang
当呼格地	dang|hu|ge|de
当局长	dang|ju|zhang
当前地	dang|qian|de
当然地	dang|ran|de
当听差	dang|ting|chai
当下地	dang|xia|de
当行	dang|hang
当行本色	dang|hang|ben|se
当行出色	dang|hang|chu|se
当行为	dang|xing|wei
当着不着	dang|zhao|bu|zhao
挡板调节	dang|ban|tiao|jie
挡道地	dang|dao|de
党参	dang|shen
党的历史地位	dang|de|li|shi|di|wei
党派性地	dang|pai|xing|de
党委员长	dang|wei|yuan|zhang
党小组长	dang|xiao|zu|zhang
刀勃地	dao|bo|de
刀部地	dao|bu|de
刀催化地	dao|cui|hua|de
刀断地	dao|duan|de
刀还款者	dao|huan|kuan|zhe
刀激地	dao|ji|de
刀刻似的	dao|ke|shi|de
刀了的	dao|liao|de
刀强地	dao|qiang|de
刀削	dao|xiao
刀削面	dao|xiao|mian
刀摇地	dao|yao|de
刀之地	dao|zhi|de
刀子似的	dao|zi|shi|de
捣虚批亢	dao|xu|pi|gang
捣虚批吭	dao|xu|pi|hang
蹈藉	dao|ji
倒持泰阿	dao|chi|tai|e
倒持太阿	dao|chi|tai|e
倒打一耙	dao|da|yi|pa
倒了的	dao|liao|de
倒霉地	dao|mei|de
倒裳索领	dao|chang|suo|ling
倒退地	dao|tui|de
倒栽葱地	dao|zai|cong|de
倒栽地	dao|zai|de
倒置地	dao|zhi|de
倒置地貌	dao|zhi|di|mao
倒转地	dao|zhuan|de
倒装法地	dao|zhuang|fa|de
导弹射程	dao|dan|she|cheng
到不了	dao|bu|liao
到藏	dao|zang
到差	dao|chai
到处长	dao|chu|zhang
到处地	dao|chu|de
到达目的	dao|da|mu|di
到底为了什么	dao|di|wei|le|shen|me
到了冬天	dao|liao|dong|tian
到了断气	dao|le|duan|qi
到了儿	dao|liao|er
到什么山上唱什么歌	dao|shen|me|shan|shang|chang|shen|me|ge
到什么时候说什么话	dao|shen|me|shi|hou|shuo|shen|me|hua
到水中地	dao|shui|zhong|de
到远方地	dao|yuan|fang|de
到终了	dao|zhong|liao
道殣相属	dao|jin|xiang|zhu
道班长	dao|ban|zhang
道傍苦李	dao|pang|ku|li
道傍之筑	dao|pang|zhi|zhu
道傍筑室	dao|pang|zhu|shi
道藏	dao|zang
道长	dao|zhang
道长说短	dao|chang|shuo|duan
道德地	dao|de|de
道亨银行	dao|heng|yin|hang
道歉地	dao|qian|de
道茄子	dao|qie|zi
道行	dao|heng
道园乐府	dao|yuan|yue|fu
德薄才疏	de|bo|cai|shu
德薄能鲜	de|bo|neng|xian
德都	de|du
德夯	de|hang
德劲	dejin
德累斯敦银行	de|lei|si|dun|yin|hang
德浅行薄	de|qian|xing|bao
得爾塔	dei|er|ta
得把	dei|ba
得不得了	de|bu|de|le
得不著	de|bu|zhao
得不着	de|bu|zhao
得当地	de|dang|de
得得地响	de|de|de|xiang
得尔塔	dei|er|ta
得跟	dei|gen
得劲	de|jin
得看	dei|kan
得看看	dei|kan|kan
得快	dei|kuai
得亏	dei|kui
得了	de|liao
得了便了	de|le|bian|liao
得了便宜还卖乖	de|le|pian|yi|hai|mai|guai
得了便宜卖乖	de|le|pian|yi|mai|guai
得了病	de|le|bing
得了吗	de|le|ma
得了那么多	de|le|na|me|duo
得能	dei|neng
得去	dei|qu
得意地	de|yi|de
得著	de|zhao
得着	de|zhao
的歷	di|li
的當	di|dang
的藏	di|cang
的確	di|que
的当	di|dang
的的	di|di
的的确确	di|di|que|que
的哥	di|ge
的价	di|jia
的价钱	de|jia|qian
的价值	de|jia|zhi
的角色	de|jue|se
的姐	di|jie
的卡	di|ka
的壳	di|qiao
的款	di|kuan
的历	di|li
的目的	de|mu|di
的女配角	de|nv|pei|jue
的情	di|qing
的确	di|que
的确地	di|que|de
的确高明	di|que|gao|ming
的确会	di|que|hui
的确简便	di|que|jian|bian
的确凉	di|que|liang
的确良	di|que|liang
的确没错	di|que|mei|cuo
的确没有	di|que|mei|you
的确面临	di|que|mian|lin
的确认	de|que|ren
的确如此	di|que|ru|ci
的确是	di|que|shi
的确太重	di|que|tai|zhong
的确特殊	di|que|te|shu
的神恶煞	di|shen|e|sha
的士	di|shi
的士兵	de|shi|bing
的士高	di|shi|gao
的士司机	di|shi|si|ji
的一确二	di|yi|que|er
的钥匙	de|yao|shi
的真	di|zhen
的真相	de|zhen|xiang
的证	di|zheng
的证据	de|zheng|ju
的主角	de|zhu|jue
灯丝调节	deng|si|tiao|jie
登记了的	deng|ji|liao|de
等什么	deng|shen|me
等衰	deng|cui
等行业	deng|hang|ye
等曾	deng|ceng
瞪眼咋舌	deng|yan|ze|she
瞪着眼	deng|zhe|yan
瞪着眼睛	deng|zhe|yan|jing
邓肯多重范围检验	deng|ken|duo|chong|fan|wei|jian|yan
低沉地说	di|chen|de|shuo
低反弹球	di|fan|tan|qiu
低徊	di|huai
低声地	di|sheng|de
低温生长	di|wen|sheng|zhang
低下地	di|xia|de
低造浆粘土	di|zao|jiang|nian|tu
低粘度	di|nian|du
滴答地响	di|da|de|xiang
滴签地响	di|qian|de|xiang
滴水似的	di|shui|shi|de
迪克牛仔	di|ke|niu|zai
迪庆藏族自治州	di|qing|zang|zu|zi|zhi|zhou
敌对地	di|dui|de
敌力角气	di|li|jue|qi
敌意地	di|yi|de
狄塞耳机	di|se|er|ji
嫡长子	di|zhang|zi
嫡系地	di|xi|de
抵触地	di|chu|de
抵还	di|huan
抵押偿还	di|ya|chang|huan
抵掌而谈	di|zhang|er|tan
底辟	di|bi
底行	di|hang
底子薄	di|zi|bo
底子太薄	di|zi|tai|bo
地爱护	de|ai|hu
地爱着	de|ai|zhe
地薄人穷	di|bo|ren|qiong
地表龟裂	di|biao|jun|lie
地藏	di|zang
地产银行	di|chan|yin|hang
地存在	de|cun|zai
地存在着	de|cun|zai|zhe
地弹簧	di|tan|huang
地到	de|dao
地动员	de|dong|yuan
地方长官	di|fang|zhang|guan
地方首长	di|fang|shou|zhang
地方性地	di|fang|xing|de
地方银行	di|fang|yin|hang
地回答	de|hui|da
地加快	de|jia|kuai
地键入	de|jian|ru
地建设	de|jian|she
地讲	de|jiang
地嚼	di|jue
地解决	de|jie|jue
地精似的	di|jing|shi|de
地看着	de|kan|zhe
地壳	di|qiao
地壳变动	di|qiao|bian|dong
地壳变形	di|qiao|bian|xing
地壳的	di|ke|de
地壳均衡	di|qiao|jun|heng
地壳均衡说	di|qiao|jun|heng|shuo
地壳隆起	di|qiao|long|qi
地壳运动	di|qiao|yun|dong
地矿部长	di|kuang|bu|zhang
地老天荒不了情	di|lao|tian|huang|bu|liao|qing
地区长	di|qu|zhang
地塞米松	di|sai|mi|song
地实现了	de|shi|xian|le
地输入	de|shu|ru
地说	de|shuo
地问	de|wen
地我	de|wo
地下宝藏	di|xia|bao|zang
地下巷道	di|xia|hang|dao
地用	de|yong
地狱似的	di|yu|shi|de
地指出	de|zhi|chu
地走出	de|zou|chu
地做	de|zuo
地窨子	di|yin|zi
第八地	de|ba|de
第二类贝塞尔函数	di|er|lei|bei|sai|er|han|shu
第十大行星	di|shi|da|xing|xing
第五地	de|wu|de
第一亇	di|yi|ge
第一幢	di|yi|chuang
第一哪	di|yi|nei
第一双重	di|yi|shuang|chong
第一雙重	di|yi|shuang|chong
帝都	di|du
帝王般地	di|wang|ban|de
弟俩	di|lia
递归地	de|gui|de
递减供给	di|jian|gong|ji
颠倒地	dian|dao|de
颠倒衣裳	dian|dao|yi|chang
颠茄	dian|qie
颠茄草	dian|qie|cao
颠衣倒裳	dian|yi|dao|chang
颠簸地	dian|bo|de
掂梢折本	dian|shao|she|ben
滇藏	dian|zang
点对称图	dian|dui|chen|tu
点着	dian|zhao
点着头	dian|zhe|tou
点坐标的	dian|zuo|biao|di
典当商行	dian|dang|shang|hang
典当行	dian|dang|hang
典藉	dian|ji
典型地	dian|xing|de
典型栅元	dian|xing|shan|yuan
典狱长	dian|yu|zhang
垫圈	dian|quan
垫塞	dian|sai
垫子似的	dian|zi|shi|de
电感调谐	dian|gan|tiao|xie
电光朝露	dian|guang|zhao|lu
电荷增长	dian|he|zeng|zhang
电话银行	dian|hua|yin|hang
电解法防海生物污着系统	dian|jie|fa|fang|hai|sheng|wu|wu|zhuo|xi|tong
电解还原	dian|jie|huan|yuan
电卷发器	dian|juan|fa|qi
电缆卡具	dian|lan|qia|ju
电料行	dian|liao|hang
电流调节	dian|liu|tiao|jie
电流调制	dian|liu|tiao|zhi
电路调整	dian|lu|tiao|zheng
电脑行业	dian|nao|hang|ye
电刨	dian|bao
电平调节	dian|ping|tiao|jie
电平校准	dian|ping|jiao|zhun
电器行	dian|qi|hang
电声乐	dian|sheng|yue
电势校正	dian|shi|jiao|zheng
电势增长	dian|shi|zeng|zhang
电位校正	dian|wei|jiao|zheng
电位增长	dian|wei|zeng|zhang
电压调节	dian|ya|tiao|jie
电源重开	dian|yuan|chong|kai
电轧刀	dian|zha|dao
电站长	dian|zhan|zhang
电子地	dian|zi|de
电子乐器	dian|zi|yue|qi
电子行业	dian|zi|hang|ye
电子音乐	dian|zi|yin|yue
电子银行	dian|zi|yin|hang
电熨	dian|yun
电熨斗	dian|yun|dou
店长	dian|zhang
奠都	dian|du
淀粉调成	dian|fen|tiao|cheng
殿阁参差	dian|ge|cen|ci
雕刻了的	diao|ke|liao|de
刁难地	diao|nan|de
掉队地	diao|dui|de
掉色	diao|se
吊拷掤扒	diao|kao|beng|ba
调白	tiao|bai
调班	tiao|ban
调变	tiao|bian
调标	tiao|biao
调波	tiao|bo
调测	tiao|ce
调查了解	diao|cha|liao|jie
调成	tiao|cheng
调处	tiao|chu
调处理	diao|chu|li
调唇弄舌	tiao|chun|nong|she
调词架讼	tiao|ci|jia|song
调达	tiao|da
调得	tiao|de
调的	tiao|de
调低	tiao|di
调风变俗	tiao|feng|bian|su
调风弄月	tiao|feng|nong|yue
调幅	tiao|fu
调幅波	tiao|fu|bo
调幅发射机	tiao|fu|fa|she|ji
调幅较大	tiao|fu|jiao|da
调幅较小	tiao|fu|jiao|xiao
调幅器	tiao|fu|qi
调幅台	tiao|fu|tai
调幅噪声	tiao|fu|zao|sheng
调干	diao|gan
调高	tiao|gao
调个	tiao|ge
调羹	tiao|geng
调功器	tiao|gong|qi
调光	tiao|guang
调光师	tiao|guang|shi
调过	tiao|guo
调好	tiao|hao
调和	tiao|he
调和比	tiao|he|bi
调和地	tiao|he|de
调和点列	tiao|he|dian|lie
调和鼎鼐	tiao|he|ding|nai
调和分析	tiao|he|fen|xi
调和函数	tiao|he|han|shu
调和化	tiao|he|hua
调和级数	tiao|he|ji|shu
调和矛盾	tiao|he|mao|dun
调和漆	tiao|he|qi
调和数列	tiao|he|shu|lie
调和系数	tiao|he|xi|shu
调和阴阳	tiao|he|yin|yang
调和指数	tiao|he|zhi|shu
调和主义	tiao|he|zhu|yi
调合	tiao|he
调合的	tiao|he|de
调合油	tiao|he|you
调护	tiao|hu
调画出	tiao|hua|chu
调换证券	tiao|huan|zheng|quan
调级	tiao|ji
调剂	tiao|ji
调剂调剂	tiao|ji|tiao|ji
调剂股利	tiao|ji|gu|li
调剂金	tiao|ji|jin
调剂品	tiao|ji|pin
调剂身心	tiao|ji|shen|xin
调剂外汇	tiao|ji|wai|hui
调剂物资	tiao|ji|wu|zi
调剂余缺	tiao|ji|yu|que
调济	tiao|ji
调价	tiao|jia
调减	tiao|jian
调焦	tiao|jiao
调焦距	tiao|jiao|ju
调角器	tiao|jiao|qi
调教	tiao|jiao
调节	tiao|jie
调节板	tiao|jie|ban
调节棒	tiao|jie|bang
调节表	tiao|jie|biao
调节部	tiao|jie|bu
调节槽	tiao|jie|cao
调节的人	tiao|jie|de|ren
调节调节	tiao|jie|tiao|jie
调节阀	tiao|jie|fa
调节帆	tiao|jie|fan
调节费	tiao|jie|fei
调节功能	tiao|jie|gong|neng
调节机构	tiao|jie|ji|gou
调节级	tiao|jie|ji
调节剂	tiao|jie|ji
调节价	tiao|jie|jia
调节库容	tiao|jie|ku|rong
调节力度	tiao|jie|li|du
调节了的	tiao|jie|liao|de
调节器	tiao|jie|qi
调节器链	tiao|jie|qi|lian
调节身心	tiao|jie|shen|xin
调节市场	tiao|jie|shi|chang
调节室	tiao|jie|shi
调节税	tiao|jie|shui
调节税率	tiao|jie|shui|lv
调节司	tiao|jie|si
调节速度	tiao|jie|su|du
调节图	tiao|jie|tu
调节外汇	tiao|jie|wai|hui
调节网络	tiao|jie|wang|luo
调节温度	tiao|jie|wen|du
调节效应	tiao|jie|xiao|ying
调节信号	tiao|jie|xin|hao
调节行程	tiao|jie|xing|cheng
调节行动	tiao|jie|xing|dong
调节性	tiao|jie|xing
调节异	tiao|jie|yi
调节元件	tiao|jie|yuan|jian
调节员	tiao|jie|yuan
调节者	tiao|jie|zhe
调节制度	tiao|jie|zhi|du
调节中枢	tiao|jie|zhong|shu
调节装置	tiao|jie|zhuang|zhi
调节作用	tiao|jie|zuo|yong
调解	tiao|jie
调解程序	tiao|jie|cheng|xu
调解调解	tiao|jie|tiao|jie
调解法	tiao|jie|fa
调解法庭	tiao|jie|fa|ting
调解工作	tiao|jie|gong|zuo
调解国	tiao|jie|guo
调解机制	tiao|jie|ji|zhi
调解建议	tiao|jie|jian|yi
调解纠纷	tiao|jie|jiu|fen
调解率	tiao|jie|lv
调解矛盾	tiao|jie|mao|dun
调解能力	tiao|jie|neng|li
调解人	tiao|jie|ren
调解人员	tiao|jie|ren|yuan
调解委员会	tiao|jie|wei|yuan|hui
调解员	tiao|jie|yuan
调解者	tiao|jie|zhe
调解争端	tiao|jie|zheng|duan
调解政策	tiao|jie|zheng|ce
调经	tiao|jing
调经剂	tiao|jing|ji
调酒	tiao|jiu
调聚反应	tiao|ju|fan|ying
调控	tiao|kong
调控功能	tiao|kong|gong|neng
调控经验	tiao|kong|jing|yan
调控力度	tiao|kong|li|du
调控目标	tiao|kong|mu|biao
调控能力	tiao|kong|neng|li
调控手段	tiao|kong|shou|duan
调控体系	tiao|kong|ti|xi
调控性	tiao|kong|xing
调控原理	tiao|kong|yuan|li
调快	tiao|kuai
调宽	tiao|kuan
调理	tiao|li
调理脾胃	tiao|li|pi|wei
调理区	tiao|li|qu
调理素	tiao|li|su
调理素的	tiao|li|su|de
调理阴阳	tiao|li|yin|yang
调良稳泛	tiao|liang|wen|fan
调料	tiao|liao
调料壶	tiao|liao|hu
调料库	tiao|liao|ku
调料作物	tiao|liao|zuo|wu
调零	tiao|ling
调流	tiao|liu
调慢	tiao|man
调墨弄笔	tiao|mo|nong|bi
调弄	tiao|nong
调配	diao|pei
调配法	tiao|pei|fa
调皮	tiao|pi
调皮蛋	tiao|pi|dan
